日期,備轉容量(MW),備轉容量率(%)
2019-01-01,2557.2999999999997,10.71
2019-01-02,1899.5,6.75
2019-01-03,1891.6,6.65
2019-01-04,1811.1000000000001,6.36
2019-01-05,1902.7,7.3
2019-01-06,2332.7000000000003,9.48
2019-01-07,1799.3000000000002,6.31
2019-01-08,1843.3000000000002,6.42
2019-01-09,1953.7,6.82
2019-01-10,1847.3,6.37
2019-01-11,1883.4,6.54
2019-01-12,2496.6,9.64
2019-01-13,2397.6,9.73
2019-01-14,1745.3999999999999,6.16
2019-01-15,1844.1,6.38
2019-01-16,1848.8,6.45
2019-01-17,1932.7,6.81
2019-01-18,1935.9,6.97
2019-01-19,1953.8999999999999,7.38
2019-01-20,2598.7,10.59
2019-01-21,1914.7,6.9
2019-01-22,1921.3999999999999,6.83
2019-01-23,1938.8,6.96
2019-01-24,1872.3,6.72
2019-01-25,1905.3,6.98
2019-01-26,2534.9,10.03
2019-01-27,2091.6,8.57
2019-01-28,1805.6999999999998,6.55
2019-01-29,1832.3,6.58
2019-01-30,1809.7,6.52
2019-01-31,1889.6000000000001,6.95
2019-02-01,2148.0,8.69
2019-02-02,2240.3,9.58
2019-02-03,2038.1999999999998,8.89
2019-02-04,2562.9,12.68
2019-02-05,2333.1,11.67
2019-02-06,2322.1,11.65
2019-02-07,2107.2,10.06
2019-02-08,3114.5,14.43
2019-02-09,3135.7999999999997,13.98
2019-02-10,3023.3999999999996,13.01
2019-02-11,2275.2000000000003,8.53
2019-02-12,1860.0,6.7
2019-02-13,1914.9,6.91
2019-02-14,1943.5,6.88
2019-02-15,1959.8,6.93
2019-02-16,2426.5,9.54
2019-02-17,2673.2,10.98
2019-02-18,1761.8000000000002,6.15
2019-02-19,1891.6,6.55
2019-02-20,1838.0,6.32
2019-02-21,1812.5,6.27
2019-02-22,1870.1,6.58
2019-02-23,1728.5,6.47
2019-02-24,1770.0,7.17
2019-02-25,1753.8,6.24
2019-02-26,1817.6,6.4
2019-02-27,1902.8,6.79
2019-02-28,2430.2000000000003,9.54
2019-03-01,2371.2,9.6
2019-03-02,1832.5,7.41
2019-03-03,2224.3,9.23
2019-03-04,1894.5,6.84
2019-03-05,1953.7,6.92
2019-03-06,1922.3,6.86
2019-03-07,1867.7,6.64
2019-03-08,1816.1000000000001,6.5
